person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
26,157500,2,4.0,0,1,25000,11.86,0,0.16,0,3
24,79650,0,4.0,0,4,6000,16.35,1,0.08,1,3
29,56000,0,0.0,0,3,8000,10.99,1,0.14,1,5
41,170000,2,11.0,2,1,20000,11.11,0,0.12,0,11
30,16500,0,0.0,3,2,4000,14.22,1,0.24,1,7
27,17795,1,4.0,2,0,2650,10.99,0,0.15,0,8
26,88000,2,6.0,1,2,7700,14.79,1,0.09,1,4
42,51000,1,6.0,3,1,18000,9.91,0,0.35,0,13
23,14400,0,0.0,3,1,4000,10.74,1,0.28,0,3
23,89000,0,8.0,5,3,8000,14.74,1,0.09,0,3
44,82000,2,5.0,5,2,8400,12.84,1,0.1,1,17
31,42000,0,2.0,1,0,5000,8.49,1,0.12,0,10
37,39000,0,5.0,0,1,15000,10.96,1,0.38,0,12
23,138000,0,7.0,5,3,24000,16.0,1,0.17,1,2
23,22800,2,2.0,0,0,3000,8.9,1,0.13,0,2
23,63000,0,0.0,3,3,16000,14.42,1,0.25,1,2
46,55000,2,3.0,3,1,15000,10.37,0,0.27,0,11
28,35000,0,1.0,0,1,7000,12.69,0,0.2,0,8
25,77650,0,8.0,0,1,22000,11.48,1,0.28,0,3
23,64000,0,0.0,4,3,7500,13.55,1,0.12,0,3
28,69996,0,1.0,3,2,11000,13.79,0,0.16,0,8
25,32500,2,3.0,1,0,12500,7.9,0,0.38,0,4
25,40000,0,2.0,5,1,5600,10.99,0,0.14,0,3
24,76000,2,9.0,5,3,7000,12.92,1,0.09,0,3
24,49639,0,8.0,2,2,10000,10.99,0,0.2,0,3
25,46000,1,0.0,5,4,19750,16.7,1,0.43,1,4
22,18000,1,1.0,2,3,5400,15.31,1,0.3,1,2
24,30000,0,2.0,2,0,3000,6.03,0,0.1,0,4
32,51000,2,5.0,2,2,15000,10.99,1,0.29,1,8
35,55000,2,4.0,1,0,8500,7.88,0,0.15,0,8
27,78300,2,11.0,4,1,9000,10.99,1,0.11,0,5
23,21600,0,1.0,1,3,4500,15.65,1,0.21,0,2
22,95000,2,3.0,5,1,7200,11.49,0,0.08,0,2
28,60000,2,0.0,5,0,16000,6.54,0,0.27,0,6
24,55243,2,6.0,2,1,2900,9.62,1,0.04,0,2
23,65000,0,3.0,3,0,15000,8.94,0,0.23,0,3
33,45000,0,2.0,0,2,8000,12.53,0,0.18,0,6
24,140000,2,8.0,2,1,16000,10.38,0,0.11,0,2
25,25000,0,3.0,0,3,10000,14.11,1,0.4,1,2
23,31516,0,4.0,5,1,5000,9.91,1,0.16,0,4
26,55000,0,10.0,2,0,8400,8.94,0,0.15,0,3
23,55000,0,4.0,1,1,25000,11.36,1,0.45,0,3
28,36000,0,2.0,4,1,7500,10.39,1,0.21,0,9
24,56000,0,2.0,2,0,8000,7.51,0,0.14,0,3
21,50000,0,1.0,2,1,7000,10.37,0,0.14,0,4
22,50663,0,0.0,1,2,7500,13.22,0,0.15,0,2
24,111239,2,1.0,1,0,14000,7.9,0,0.13,0,4
29,50000,0,5.0,5,2,6000,13.49,0,0.12,1,7
27,36000,0,7.0,1,3,16000,15.7,1,0.44,0,9
24,52000,2,9.0,3,1,11300,10.99,0,0.22,0,3
25,34000,2,9.0,2,0,2000,7.66,1,0.06,0,4
23,77000,0,7.0,0,1,15000,12.42,0,0.19,0,2
27,125000,2,11.0,0,2,15975,12.72,0,0.13,1,8
35,68231,0,3.0,1,2,22400,12.99,1,0.33,1,7
29,32000,0,1.0,0,3,6525,16.07,1,0.2,1,9
24,40000,0,3.0,2,0,10000,10.99,0,0.25,0,2
28,30000,0,3.0,2,1,5000,9.88,0,0.17,0,8
25,29000,0,2.0,3,2,2500,12.84,1,0.09,0,3
25,22800,0,0.0,2,2,6000,13.35,1,0.26,0,4
24,62500,1,8.0,4,2,6500,13.22,0,0.1,0,3
33,108000,2,17.0,0,2,7200,14.35,0,0.07,1,6
24,38700,0,2.0,5,1,10000,10.99,0,0.26,0,3
25,140000,2,10.0,2,1,22000,8.88,0,0.16,0,3
42,175000,2,12.0,0,2,7000,12.99,0,0.04,1,13
27,31200,0,2.0,2,0,9400,6.91,0,0.3,0,5
29,70004,0,0.0,2,0,8000,9.63,0,0.11,0,9
28,50000,2,4.0,1,0,15000,6.99,0,0.3,0,10
26,31000,0,5.0,4,2,8000,14.27,1,0.26,1,3
30,90722,2,6.0,3,0,10000,6.91,0,0.11,0,8
45,63000,2,8.0,3,1,12000,9.91,0,0.19,0,13
26,14400,0,2.0,3,2,2500,13.47,1,0.17,1,4
33,62050,2,17.0,2,3,20000,10.99,1,0.27,1,8
23,89000,0,8.0,5,3,8000,14.74,1,0.09,0,3
29,30000,0,4.0,3,4,10200,17.99,1,0.34,1,10
24,75000,0,4.0,3,1,20000,8.88,0,0.27,0,2
25,51000,2,6.0,1,4,16750,16.4,0,0.33,0,3
23,168952,2,5.0,4,0,12500,8.94,1,0.07,0,2
28,69900,2,6.0,3,0,12000,7.49,0,0.17,0,10
30,24000,2,4.0,5,0,7000,6.62,0,0.29,0,10
22,19200,0,0.0,3,1,4000,10.25,1,0.21,0,3
22,41784,2,6.0,5,0,5000,6.03,0,0.12,0,2
35,125000,0,11.0,1,3,8000,10.99,0,0.06,1,7
21,24996,0,0.0,5,3,5000,10.99,1,0.2,0,3
30,50000,1,4.0,3,0,8000,5.79,0,0.16,0,8
22,69000,2,1.0,1,2,17000,15.27,1,0.25,0,3
27,64000,0,2.0,5,2,5000,12.99,0,0.08,0,8
30,10200,1,4.0,4,1,5500,10.36,1,0.54,0,8
28,70000,2,13.0,4,0,5000,6.99,0,0.07,0,7
26,14400,0,2.0,5,3,2000,15.58,1,0.14,0,4
23,11000,0,4.0,1,0,1200,6.91,0,0.11,0,3
22,26004,2,1.0,1,0,5000,5.42,0,0.19,0,4
21,52240,0,5.0,2,4,18000,19.69,1,0.34,0,2
44,83000,3,2.0,1,3,12000,16.0,1,0.14,1,15
24,45000,2,5.0,1,0,5000,10.99,0,0.11,0,4
37,40000,1,16.0,4,1,5000,10.99,0,0.13,0,12
26,20400,0,0.0,3,1,6000,9.99,0,0.29,0,2
29,66996,2,1.0,0,0,9000,8.94,0,0.13,0,7
28,83000,2,6.0,5,1,5000,10.99,0,0.06,0,9
22,25440,0,6.0,1,0,4000,5.42,0,0.16,0,4
29,56500,0,3.0,2,1,7000,10.99,1,0.12,0,8
22,34800,0,6.0,3,2,15000,14.27,1,0.43,1,3
30,65000,2,6.0,0,0,17500,10.99,0,0.27,0,8
30,30000,2,3.0,5,0,5100,7.9,0,0.17,0,5
25,60000,0,9.0,5,0,13500,7.49,0,0.23,0,2
31,45000,0,5.0,0,0,14000,7.91,1,0.31,0,8
26,30000,0,1.0,1,3,4200,16.49,1,0.14,0,3
22,41500,0,3.0,3,3,7000,15.7,1,0.17,1,3
22,32000,0,0.0,5,2,14000,13.49,1,0.44,0,2
30,51996,2,5.0,0,0,3200,6.99,0,0.06,0,5
22,33000,0,6.0,0,2,6000,13.85,0,0.18,0,4
22,83000,0,6.0,5,4,24000,19.69,1,0.29,0,3
26,52800,0,4.0,3,1,8975,10.99,0,0.17,0,2
24,130000,0,7.0,2,1,24000,11.49,0,0.18,0,3
46,60070,0,2.0,0,2,5500,14.22,0,0.09,1,17
23,36000,0,7.0,0,1,12250,10.99,1,0.34,0,3
22,84000,2,6.0,5,2,23000,12.68,0,0.27,0,4
24,40000,0,0.0,1,0,4850,6.62,0,0.12,0,2
23,36000,0,3.0,3,2,15000,13.49,1,0.42,1,3
24,73399,0,0.0,1,3,27000,10.99,1,0.37,0,2
51,60000,2,1.0,0,0,7500,10.99,0,0.13,0,24
21,21600,0,0.0,5,1,2000,11.71,1,0.09,0,2
26,60000,0,0.0,3,1,7200,11.14,0,0.12,0,2
22,34500,0,2.0,2,3,5000,16.89,1,0.14,0,3
23,86000,2,5.0,0,1,16000,12.21,0,0.19,0,3
24,101000,2,3.0,1,0,7000,10.99,1,0.07,0,4
29,16800,0,9.0,4,3,2750,14.84,1,0.16,1,6
28,34000,0,0.0,1,3,12000,14.61,1,0.35,1,8
28,100000,2,3.0,2,2,8000,13.98,0,0.08,1,6
28,50820,2,12.0,0,1,10000,10.59,1,0.2,0,8
22,30288,1,0.0,1,5,5000,19.47,1,0.17,1,3
26,59000,2,2.0,4,2,20000,13.48,1,0.34,1,3
26,53000,1,3.0,3,1,6000,9.99,0,0.11,0,2
25,96000,2,5.0,5,0,35000,7.49,0,0.36,0,3
29,30996,0,0.0,5,1,18000,10.75,1,0.58,0,7
50,69000,0,8.0,5,3,15000,10.99,1,0.22,0,17
25,62050,2,7.0,2,1,18300,10.62,1,0.25,0,3
23,42000,0,4.0,1,2,2500,13.61,0,0.06,0,4
24,96000,2,8.0,3,0,4200,5.99,0,0.04,0,3
25,82000,0,1.0,1,4,22000,17.51,1,0.27,0,2
29,84000,2,9.0,4,0,5900,7.66,0,0.07,0,9
51,42000,2,2.0,5,2,15000,13.99,1,0.36,1,20
37,6000,1,3.0,3,0,1300,6.03,1,0.22,0,11
24,46000,0,0.0,0,0,4800,8.9,0,0.1,0,2
26,26000,1,0.0,5,4,8500,16.45,1,0.33,0,3
33,43000,2,4.0,4,2,10000,13.35,0,0.23,1,10
29,60000,2,1.0,0,1,5600,12.42,0,0.09,0,10
32,118000,2,3.0,5,3,8875,14.84,1,0.08,0,5
23,120000,2,7.0,3,1,4400,11.71,0,0.04,0,3
23,38400,0,5.0,1,1,13000,11.71,1,0.34,0,3
24,63410,2,3.0,2,4,20000,17.51,1,0.27,0,4
36,156326,0,10.0,4,0,1800,8.0,0,0.01,0,16
35,100000,2,19.0,3,1,1800,9.63,0,0.02,0,8
25,76000,0,1.0,1,0,5000,7.9,0,0.07,0,3
25,48000,0,9.0,0,1,15000,10.99,1,0.31,0,2
38,33000,0,2.0,3,3,2000,16.89,1,0.06,0,14
22,185000,0,4.0,1,1,25000,11.36,0,0.14,0,4
25,84000,2,9.0,5,3,5000,16.02,1,0.06,0,3
24,36000,0,5.0,2,3,6000,14.96,0,0.17,0,2
26,42000,0,3.0,3,0,12000,8.49,0,0.29,0,3
26,75000,2,7.0,5,0,6500,8.9,0,0.09,0,4
27,72000,2,11.0,0,1,5000,11.86,1,0.07,0,10
29,48000,2,13.0,4,1,20000,11.36,0,0.42,0,10
25,36000,0,1.0,2,3,15000,15.05,1,0.42,1,2
25,73000,2,8.0,0,3,20000,13.12,1,0.27,1,4
26,38400,1,4.0,4,1,7000,12.69,0,0.18,0,2
25,64000,0,0.0,4,4,20000,10.99,1,0.31,0,4
32,21120,0,0.0,2,0,10000,10.99,1,0.47,0,6
23,46800,2,4.0,0,0,13000,8.59,0,0.28,0,2
24,43000,2,8.0,5,3,10000,16.89,1,0.23,0,4
48,64430,2,14.0,2,3,15000,10.99,1,0.2,1,12
57,15840,0,2.0,2,1,3000,10.38,1,0.19,0,20
31,30000,0,4.0,5,1,12000,10.39,1,0.4,0,9
22,27600,0,2.0,5,1,6000,10.38,0,0.22,0,4
25,19240,0,0.0,4,1,8875,10.65,1,0.46,0,4
24,36000,2,3.0,0,1,4750,11.83,0,0.13,0,3
23,33000,0,3.0,5,1,4000,10.96,0,0.12,0,4
24,21600,0,4.0,3,2,6500,14.79,1,0.3,1,4
28,36000,0,2.0,4,1,7500,10.39,1,0.21,0,9
28,11029,2,12.0,5,2,2150,10.78,1,0.19,1,6
35,88000,2,18.0,2,1,9800,12.69,0,0.11,0,10
42,48000,1,0.0,0,2,3500,14.35,0,0.07,0,12
35,15000,2,0.0,3,2,1925,12.84,0,0.13,0,6
27,24000,1,1.0,1,2,6000,10.99,0,0.25,0,7
22,34560,0,1.0,2,4,2100,17.04,1,0.06,0,3
38,59000,0,5.0,3,2,14000,13.8,1,0.24,0,14
32,76500,0,12.0,2,3,10000,13.24,1,0.11,1,9
24,72000,0,6.0,2,0,5000,10.99,0,0.07,0,3
35,34000,0,1.0,3,3,1600,14.84,1,0.05,1,6
33,123000,0,5.0,2,1,12000,11.83,0,0.1,0,7
24,32000,0,6.0,2,1,4800,10.59,0,0.15,0,2
42,42000,0,6.0,1,3,14500,15.57,1,0.35,0,14
33,32400,0,8.0,1,0,11000,6.99,1,0.34,0,10
24,85000,2,4.0,1,1,1000,9.99,0,0.01,0,4
29,105000,0,6.0,4,0,30000,5.99,0,0.29,0,8
29,65000,2,7.0,0,1,7000,10.99,0,0.11,0,10
44,117300,0,3.0,2,0,2500,7.29,1,0.02,0,11
26,46877,0,4.0,5,0,10000,5.42,0,0.21,0,2
23,58000,2,7.0,0,3,16500,10.99,1,0.28,1,4
23,32000,0,4.0,1,1,11000,9.91,1,0.34,0,3
28,126000,2,2.0,4,1,12000,11.71,0,0.1,0,8
23,30000,0,3.0,0,0,14600,6.03,1,0.49,0,4
22,46000,2,0.0,2,1,8000,12.53,1,0.17,0,3
35,80000,0,19.0,3,3,25000,14.09,1,0.31,1,10
23,56000,0,4.0,5,1,15000,12.69,1,0.27,0,4
41,34560,0,8.0,5,3,7550,16.89,1,0.22,0,14
25,25000,0,0.0,2,2,8500,12.53,1,0.34,1,2
24,42000,2,8.0,0,1,1000,11.49,0,0.02,0,4
25,49713,2,7.0,5,1,12000,11.86,0,0.24,0,2
24,98518,2,8.0,3,0,10000,8.59,0,0.1,0,3
40,39500,1,0.0,0,0,10000,7.29,0,0.25,0,11
25,46800,0,5.0,1,2,12000,13.11,1,0.26,0,4
23,57600,0,5.0,2,2,7500,13.85,0,0.13,0,3
24,35000,2,5.0,5,0,4800,5.42,0,0.14,0,3
22,30000,0,1.0,0,0,11100,6.62,1,0.37,0,4
24,67200,0,4.0,1,1,5000,10.99,0,0.07,0,4
29,29004,0,8.0,1,2,6000,12.87,0,0.21,0,5
36,47500,2,8.0,5,0,2700,5.79,0,0.06,0,14
29,61455,2,1.0,2,5,10000,18.09,1,0.14,0,9
37,45000,1,11.0,1,1,12000,12.21,0,0.27,0,12
30,32040,0,4.0,0,2,13275,10.99,1,0.41,1,6
27,24000,0,2.0,2,1,2500,10.65,0,0.1,0,9
24,48000,2,8.0,2,0,10000,7.49,0,0.21,0,3
30,74400,1,8.0,3,0,7500,10.99,0,0.1,0,7
23,24000,0,4.0,5,1,5000,10.62,0,0.21,0,4
21,18000,1,1.0,0,1,2500,11.36,0,0.14,0,3
25,54000,1,9.0,1,2,15000,10.99,0,0.28,1,4
29,36000,0,13.0,2,0,12000,7.49,1,0.33,0,10
25,69000,0,9.0,0,3,25000,17.49,1,0.36,0,2
34,30144,2,3.0,5,2,18000,12.84,0,0.6,1,5
34,91000,0,11.0,2,1,25000,11.36,0,0.27,0,5
28,50000,0,2.0,3,0,14000,6.54,0,0.28,0,6
23,32000,2,4.0,1,1,1000,10.59,1,0.03,0,2
27,67000,0,1.0,0,2,2800,13.04,0,0.04,0,7
48,128000,0,0.0,1,3,7500,17.49,1,0.06,1,11
31,30372,0,2.0,0,3,20200,14.74,1,0.67,1,5
28,69000,2,12.0,5,1,10000,9.88,0,0.14,0,8
24,53000,2,4.0,3,0,15000,10.99,0,0.28,0,2
33,18000,1,17.0,2,0,7000,8.0,1,0.39,0,9
29,92000,2,3.0,4,0,11200,10.99,0,0.12,0,5
21,31000,0,5.0,5,1,3200,10.37,1,0.1,0,3
34,59000,2,1.0,2,2,20000,10.99,1,0.34,1,7
25,25000,0,1.0,4,1,8000,12.42,1,0.32,0,3
33,48000,0,4.0,5,1,3600,11.99,0,0.07,0,10
25,80000,2,4.0,2,0,6000,7.74,0,0.07,0,4
35,32000,2,1.0,5,3,10750,14.96,1,0.34,1,5
22,22596,0,4.0,5,1,7500,9.76,1,0.33,0,3
26,31000,0,5.0,4,2,8000,14.27,1,0.26,1,3
24,64000,0,4.0,4,1,2500,11.14,1,0.04,0,3
28,65984,0,12.0,2,3,10000,15.33,1,0.13,0,5
36,36000,0,20.0,3,2,12375,14.27,1,0.34,0,16
27,39000,0,3.0,5,1,2100,10.99,0,0.05,0,6
37,40000,0,1.0,3,1,3000,11.71,0,0.07,0,15
23,20000,0,0.0,3,4,3200,16.0,1,0.16,0,2
21,33388,0,3.0,1,1,1000,10.99,0,0.03,0,2
29,18000,0,5.0,4,1,5375,12.69,1,0.3,0,9
31,160000,0,1.0,4,2,7500,11.28,0,0.05,0,7
32,59004,0,0.0,2,3,8000,16.49,1,0.14,1,8
23,73000,0,4.0,2,1,6000,12.53,0,0.08,0,4
28,65025,0,4.0,2,4,11000,16.35,1,0.14,1,8
33,44000,0,10.0,4,1,13000,9.91,1,0.3,0,6
49,58000,2,5.0,0,3,16000,15.33,1,0.28,0,13
29,60000,2,0.0,0,0,5000,6.03,0,0.08,0,10
22,58000,0,0.0,5,2,20000,13.11,1,0.34,0,2
35,81000,2,15.0,5,1,5400,10.99,0,0.07,0,5
25,39600,0,2.0,2,1,12000,10.99,0,0.3,0,2
24,47292,0,4.0,2,3,10000,16.32,1,0.21,1,3
26,125000,2,6.0,4,0,16000,8.94,0,0.13,0,4
22,40000,0,1.0,5,1,17000,10.65,1,0.42,0,4
32,74000,2,16.0,1,1,13650,12.42,1,0.18,0,10
23,45312,0,3.0,1,0,13500,7.88,0,0.3,0,3
25,33000,0,4.0,2,1,3600,10.0,1,0.11,0,3
22,60000,2,6.0,2,0,7000,7.14,0,0.12,0,3
22,98000,2,1.0,4,0,9000,9.63,1,0.09,0,2
28,76113,0,4.0,4,2,14500,12.61,1,0.19,0,7
27,35000,0,4.0,5,2,14500,13.98,1,0.41,1,8
24,38000,0,0.0,0,1,12000,11.89,1,0.32,0,3
25,18204,0,0.0,1,2,4500,13.61,1,0.25,0,2
21,14400,0,3.0,3,2,5000,13.72,1,0.35,0,4
41,33150,0,5.0,1,2,11500,12.98,1,0.35,0,15
23,88000,0,4.0,4,0,4000,7.14,1,0.05,0,4
21,36000,2,1.0,5,0,8000,9.32,0,0.22,0,3
23,92004,2,7.0,1,1,24250,11.12,0,0.26,0,2
35,70000,2,14.0,4,1,20000,11.49,0,0.29,0,10
43,50000,0,6.0,0,2,18000,14.35,1,0.36,0,16
23,54000,0,2.0,0,1,20000,11.12,1,0.37,0,2
23,54000,0,1.0,1,3,10000,13.67,1,0.19,1,3
33,44000,0,3.0,4,1,2725,12.18,1,0.06,0,7
25,95000,0,4.0,1,0,24000,8.9,0,0.25,0,2
23,25200,0,1.0,5,2,8000,12.73,1,0.32,0,4
25,66000,0,7.0,5,1,6500,10.25,0,0.1,0,3
31,40000,2,4.0,2,2,12650,11.34,0,0.32,0,9
23,40000,0,1.0,3,1,15000,11.71,1,0.38,0,3
31,80004,2,9.0,2,2,3500,12.61,0,0.04,0,10
34,38769,2,3.0,5,0,2400,8.9,0,0.06,0,6
28,99996,0,7.0,2,1,5000,11.49,0,0.05,0,10
38,49000,0,4.0,5,0,3000,7.51,0,0.06,0,13
21,29000,0,0.0,1,3,4000,14.83,1,0.14,0,4
26,65000,2,0.0,0,0,4000,5.42,0,0.06,0,2
28,50000,0,2.0,2,3,2000,16.89,1,0.04,0,7
27,26400,0,9.0,1,1,10000,10.25,1,0.38,0,9
23,86748,2,2.0,0,0,10000,8.49,0,0.12,0,4
21,14400,1,0.0,4,1,3000,10.99,1,0.21,0,4
23,32400,0,4.0,2,0,4500,7.49,0,0.14,0,3
32,63000,0,9.0,5,1,8000,10.74,1,0.13,0,5
24,69000,2,4.0,5,3,25000,15.57,1,0.36,0,2
30,65000,2,1.0,0,3,25000,15.65,0,0.38,1,5
21,13806,0,6.0,0,2,4750,12.73,1,0.34,1,3
34,35000,0,3.0,2,2,10600,15.96,0,0.3,0,10
31,96000,2,4.0,2,0,9600,5.99,0,0.1,0,5
46,17496,0,6.0,4,1,1500,11.14,1,0.09,0,13
23,48000,0,3.0,2,0,4800,5.42,0,0.1,0,3
22,11000,0,3.0,4,1,3800,8.88,1,0.35,0,4
27,35000,0,0.0,1,0,12000,7.29,1,0.34,0,6
38,175000,2,21.0,3,1,10000,11.26,0,0.06,0,17
32,37000,0,4.0,2,1,6000,10.36,0,0.16,0,8
30,96000,2,11.0,2,1,12000,9.99,0,0.13,0,7
26,42000,0,0.0,3,1,6000,11.12,0,0.14,0,4
23,78000,2,7.0,5,2,4200,13.06,0,0.05,1,3
34,112123,2,2.0,1,0,12800,8.94,0,0.11,0,6
36,44000,0,4.0,5,3,8000,17.49,1,0.18,0,15
30,67202,0,4.0,5,0,10000,10.99,0,0.15,0,7
25,41000,0,9.0,2,1,5000,11.71,0,0.12,0,2
28,50000,0,2.0,2,3,2000,16.89,1,0.04,0,7
28,34000,0,1.0,3,2,5000,14.26,1,0.15,1,9
47,92000,1,0.0,4,3,12000,14.11,0,0.13,0,12
31,125000,1,5.0,2,0,30000,7.51,0,0.24,0,9
32,75333,2,1.0,1,1,15000,11.58,0,0.2,0,5
26,22480,0,0.0,4,0,7000,8.0,1,0.31,0,4
23,31200,0,6.0,3,1,8000,11.49,0,0.26,0,4
27,47000,2,2.0,5,3,25000,14.96,1,0.53,1,9
23,20000,0,6.0,0,2,4000,12.23,0,0.2,1,2
21,28000,0,0.0,5,0,8000,7.51,0,0.29,0,4
39,62400,0,7.0,0,2,20000,12.68,1,0.32,0,13
25,52000,0,9.0,3,2,16000,13.98,1,0.31,0,4
30,95000,2,4.0,2,1,5600,11.63,0,0.06,0,5
40,80004,2,15.0,1,0,9500,7.51,0,0.12,0,12
24,72444,2,7.0,4,1,25000,10.74,0,0.35,0,4
25,63128,0,4.0,3,0,1500,7.49,0,0.02,0,4
30,21600,0,2.0,5,2,1500,14.72,0,0.07,1,8
29,134000,2,2.0,0,2,8000,14.22,0,0.06,0,7
22,41000,0,2.0,5,3,3600,16.77,1,0.09,1,3
36,900000,2,8.0,0,1,6000,10.99,0,0.01,0,12
30,66500,2,5.0,5,0,8000,7.88,0,0.12,0,9
24,69000,0,2.0,4,0,27600,10.99,1,0.4,0,2
23,60000,0,0.0,0,0,12000,7.88,0,0.2,0,2
27,74000,2,3.0,0,1,25000,11.46,1,0.34,0,5
22,17772,0,0.0,2,0,2150,10.99,0,0.12,0,4
29,59000,0,4.0,5,3,12000,16.49,1,0.2,1,9
27,75000,2,4.0,3,1,6625,10.99,0,0.09,0,9
29,80000,1,0.0,3,2,24000,12.87,0,0.3,0,9
28,77000,2,4.0,5,1,2600,11.71,0,0.03,0,5
21,10000,1,2.0,4,0,4500,8.63,1,0.45,0,2
28,51500,0,2.0,5,3,20000,15.65,1,0.39,1,8
25,57500,0,4.0,1,2,6000,11.28,1,0.1,0,3
24,36000,2,8.0,4,0,6000,7.14,1,0.17,0,4
24,26000,0,6.0,0,1,10000,10.99,1,0.38,0,4
44,35000,0,4.0,5,1,10825,10.65,1,0.31,0,12
26,148000,0,1.0,1,5,24000,18.3,1,0.16,0,2
25,43000,0,9.0,4,2,22000,13.11,1,0.51,0,2
28,32376,0,2.0,5,5,8000,10.99,1,0.25,1,7
28,18600,0,4.0,2,3,5000,10.99,1,0.27,1,9
24,53000,0,5.0,1,0,5100,7.9,0,0.1,0,2
21,39327,0,5.0,2,3,3000,13.67,1,0.08,0,2
23,12000,0,0.0,1,0,2000,7.74,1,0.17,0,4
21,12000,0,2.0,4,1,3250,9.99,1,0.27,0,2
26,36000,0,2.0,5,1,14500,9.88,1,0.4,0,3
26,37820,2,3.0,4,0,6300,10.99,0,0.17,0,4
27,71700,2,11.0,4,2,9000,13.8,0,0.13,0,5
22,65700,0,7.0,0,1,6800,10.37,0,0.1,0,3
24,21600,0,0.0,1,2,6600,12.68,1,0.31,1,4
30,40800,0,7.0,0,1,2400,11.49,1,0.06,0,9
44,83000,3,2.0,0,3,12000,16.0,1,0.14,1,12
29,27000,0,4.0,3,2,7000,13.72,0,0.26,0,7
26,85000,2,0.0,0,2,12000,14.27,0,0.14,0,4
24,31000,0,2.0,3,2,10000,14.65,1,0.32,0,2
36,250000,0,2.0,5,0,20000,7.88,0,0.08,0,17
25,48000,0,2.0,3,1,8000,10.59,0,0.17,0,4
30,84000,2,1.0,5,1,6000,10.99,0,0.07,0,6
24,133000,1,4.0,3,0,4000,7.4,0,0.03,0,3
21,59000,2,5.0,4,1,5000,9.99,1,0.08,0,2
35,60000,0,0.0,4,2,4000,13.98,0,0.07,1,7
27,35000,0,0.0,5,1,3000,10.99,0,0.09,0,8
30,55000,2,0.0,0,2,6000,12.99,0,0.11,1,6
24,26000,0,0.0,0,4,4200,16.0,1,0.16,0,2
26,24000,2,10.0,2,0,5000,7.66,1,0.21,0,3
30,15000,0,2.0,4,3,4000,13.67,1,0.27,1,7
24,69996,0,7.0,5,1,5000,10.38,0,0.07,0,4
